feature_idx,feature_name,male_imp_mean,male_imp_std,female_imp_mean,female_imp_std,abs_difference,p_raw,q_fdr,significant
237,V2_QRSA,0.001217,0.002533,-0.001431,0.001427,0.002648,0.000012,0.000072,True
168,DI_QRSTA,0.001323,0.005545,0.003877,0.003530,0.002554,0.041592,0.105113,False
233,V2_Rp_amp,-0.000079,0.000690,0.002464,0.005416,0.002543,0.017781,0.050961,False
92,V1_N_defl,0.004550,0.005421,0.002011,0.004686,0.002539,0.061404,0.149739,False
52,AVR_R_wid,0.003175,0.001976,0.000688,0.004033,0.002486,0.004753,0.015544,True
140,V5_N_defl,-0.001852,0.000924,0.000598,0.001726,0.002450,0.000000,0.000000,True
182,DIII_S_amp,0.000741,0.001083,0.003170,0.001557,0.002430,0.000000,0.000000,True
28,DII_R_wid,-0.000873,0.001110,0.001540,0.002000,0.002413,0.000001,0.000007,True
247,V3_QRSA,-0.001455,0.004546,0.000888,0.002857,0.002343,0.022872,0.063585,False
255,V4_P_amp,0.001164,0.001117,-0.001178,0.003119,0.002342,0.000524,0.002175,True
17,DI_S_wid,-0.003942,0.002923,-0.001667,0.001530,0.002275,0.000575,0.002352,True
16,DI_R_wid,0.000212,0.000765,-0.002029,0.001374,0.002241,0.000000,0.000000,True
226,V1_T_amp,0.000741,0.001063,0.002935,0.002905,0.002194,0.000500,0.002105,True
236,V2_T_amp,-0.000741,0.004762,0.001449,0.002630,0.002190,0.035461,0.092132,False
212,AVF_S_amp,-0.001005,0.003253,0.001123,0.001316,0.002128,0.002300,0.008199,True
241,V3_R_amp,0.000503,0.002202,0.002627,0.002101,0.002124,0.000400,0.001736,True
188,DIII_QRSTA,-0.001323,0.001052,0.000725,0.002148,0.002047,0.000037,0.000195,True
178,DII_QRSTA,-0.002566,0.010918,-0.000525,0.003743,0.002041,0.347401,0.611250,False
209,AVF_JJ_amp,0.001005,0.001262,-0.001033,0.002758,0.002038,0.000813,0.003182,True
100,V2_R_wid,-0.000661,0.001161,-0.002663,0.002139,0.002002,0.000060,0.000305,True
112,V3_R_wid,-0.000423,0.001919,0.001576,0.002102,0.001999,0.000372,0.001640,True
29,DII_S_wid,-0.000635,0.001148,-0.002627,0.003147,0.001992,0.002826,0.009820,True
159,DI_JJ_amp,0.000688,0.002516,-0.001250,0.002319,0.001938,0.003457,0.011579,True
251,V4_R_amp,0.001534,0.008424,-0.000399,0.002090,0.001933,0.239073,0.478145,False
177,DII_QRSA,-0.002037,0.008305,-0.000127,0.003121,0.001910,0.253708,0.493223,False
276,V6_T_amp,-0.003254,0.008375,-0.001359,0.006975,0.001895,0.353063,0.617304,False
75,AVF_Q_wid,0.000450,0.001501,-0.001431,0.005223,0.001881,0.071074,0.171814,False
34,DII_Diph_R,0.001878,0.001906,0.000000,0.000000,0.001878,0.000011,0.000065,True
206,AVL_T_amp,-0.001481,0.006299,-0.003333,0.002401,0.001852,0.147421,0.320181,False
162,DI_S_amp,0.000370,0.001886,0.002138,0.003580,0.001767,0.023226,0.063930,False
