strategy,overall_mean,overall_std,male_mean,male_std,female_mean,female_std,gap_mean,gap_std
baseline,0.6703,0.0238,0.6135,0.0427,0.7185,0.0277,-0.1050,0.0556
random_oversample,0.6903,0.0162,0.6173,0.0285,0.7520,0.0317,-0.1347,0.0514
perturbation,0.7190,0.0189,0.6619,0.0307,0.7682,0.0394,-0.1062,0.0602
smotenc,0.7102,0.0164,0.6478,0.0361,0.7639,0.0336,-0.1162,0.0617
cross_gender,0.6814,0.0257,0.6130,0.0475,0.7388,0.0363,-0.1258,0.0681
combined,0.7036,0.0206,0.6325,0.0351,0.7648,0.0536,-0.1323,0.0816
