feature_idx,feature_name,importance_male,importance_female,delta,p_value,q_value_bh,significant
18,DI_Rp_wid,0.0,0.0,0.0,,1.0,False
15,DI_Q_wid,0.0,0.0,0.0,,1.0,False
20,DI_N_defl,0.0,0.0,0.0,,1.0,False
273,V6_Rp_amp,0.0,0.0,0.0,,1.0,False
263,V5_Rp_amp,0.0,0.0,0.0,,1.0,False
53,AVR_S_wid,0.0,0.0,0.0,,1.0,False
54,AVR_Rp_wid,0.0,0.0,0.0,,1.0,False
55,AVR_Sp_wid,0.0,0.0,0.0,,1.0,False
274,V6_Sp_amp,0.0,0.0,0.0,,1.0,False
264,V5_Sp_amp,0.0,0.0,0.0,,1.0,False
145,V5_Rag_T,0.0,0.0,0.0,,1.0,False
144,V5_Diph_P,0.0,0.0,0.0,,1.0,False
143,V5_Rag_P,0.0,0.0,0.0,,1.0,False
142,V5_Diph_R,0.0,0.0,0.0,,1.0,False
141,V5_Rag_R,0.0,0.0,0.0,,1.0,False
139,V5_Sp_wid,0.0,0.0,0.0,,1.0,False
138,V5_Rp_wid,0.0,0.0,0.0,,1.0,False
135,V5_Q_wid,0.0,0.0,0.0,,1.0,False
130,V4_Diph_R,0.0,0.0,0.0,,1.0,False
134,V4_Diph_T,0.0,0.0,0.0,,1.0,False
133,V4_Rag_T,0.0,0.0,0.0,,1.0,False
132,V4_Diph_P,0.0,0.0,0.0,,1.0,False
129,V4_Rag_R,0.0,0.0,0.0,,1.0,False
131,V4_Rag_P,0.0,0.0,0.0,,1.0,False
127,V4_Sp_wid,0.0,0.0,0.0,,1.0,False
128,V4_N_defl,0.0,0.0,0.0,,1.0,False
115,V3_Sp_wid,0.0,0.0,0.0,,1.0,False
117,V3_Rag_R,0.0,0.0,0.0,,1.0,False
126,V4_Rp_wid,0.0,0.0,0.0,,1.0,False
125,V4_S_wid,0.0,0.0,0.0,,1.0,False
121,V3_Rag_T,0.0,0.0,0.0,,1.0,False
122,V3_Diph_T,0.0,0.0,0.0,,1.0,False
119,V3_Rag_P,0.0,0.0,0.0,,1.0,False
120,V3_Diph_P,0.0,0.0,0.0,,1.0,False
118,V3_Diph_R,0.0,0.0,0.0,,1.0,False
105,V2_Rag_R,0.0,0.0,0.0,,1.0,False
107,V2_Rag_P,0.0,0.0,0.0,,1.0,False
106,V2_Diph_R,0.0,0.0,0.0,,1.0,False
108,V2_Diph_P,0.0,0.0,0.0,,1.0,False
109,V2_Rag_T,0.0,0.0,0.0,,1.0,False
110,V2_Diph_T,0.0,0.0,0.0,,1.0,False
111,V3_Q_wid,0.0,0.0,0.0,,1.0,False
79,AVF_Sp_wid,0.0,0.0,0.0,,1.0,False
82,AVF_Diph_R,0.0,0.0,0.0,,1.0,False
81,AVF_Rag_R,0.0,0.0,0.0,,1.0,False
80,AVF_N_defl,0.0,0.0,0.0,,1.0,False
86,AVF_Diph_T,0.0,0.0,0.0,,1.0,False
85,AVF_Rag_T,0.0,0.0,0.0,,1.0,False
84,AVF_Diph_P,0.0,0.0,0.0,,1.0,False
104,V2_N_defl,0.0,0.0,0.0,,1.0,False
96,V1_Diph_P,0.0,0.0,0.0,,1.0,False
103,V2_Sp_wid,0.0,0.0,0.0,,1.0,False
97,V1_Rag_T,0.0,0.0,0.0,,1.0,False
98,V1_Diph_T,0.0,0.0,0.0,,1.0,False
91,V1_Sp_wid,0.0,0.0,0.0,,1.0,False
93,V1_Rag_R,0.0,0.0,0.0,,1.0,False
94,V1_Diph_R,0.0,0.0,0.0,,1.0,False
95,V1_Rag_P,0.0,0.0,0.0,,1.0,False
78,AVF_Rp_wid,0.0,0.0,0.0,,1.0,False
83,AVF_Rag_P,0.0,0.0,0.0,,1.0,False
59,AVR_Rag_P,0.0,0.0,0.0,,1.0,False
60,AVR_Diph_P,0.0,0.0,0.0,,1.0,False
62,AVR_Diph_T,0.0,0.0,0.0,,1.0,False
61,AVR_Rag_T,0.0,0.0,0.0,,1.0,False
63,AVL_Q_wid,0.0,0.0,0.0,,1.0,False
66,AVL_Rp_wid,0.0,0.0,0.0,,1.0,False
67,AVL_Sp_wid,0.0,0.0,0.0,,1.0,False
68,AVL_N_defl,0.0,0.0,0.0,,1.0,False
69,AVL_Rag_R,0.0,0.0,0.0,,1.0,False
70,AVL_Diph_R,0.0,0.0,0.0,,1.0,False
71,AVL_Rag_P,0.0,0.0,0.0,,1.0,False
72,AVL_Diph_P,0.0,0.0,0.0,,1.0,False
73,AVL_Rag_T,0.0,0.0,0.0,,1.0,False
74,AVL_Diph_T,0.0,0.0,0.0,,1.0,False
203,AVL_Rp_amp,0.0,0.0,0.0,,1.0,False
202,AVL_S_amp,0.0,0.0,0.0,,1.0,False
200,AVL_Q_amp,0.0,0.0,0.0,,1.0,False
194,AVR_Sp_amp,0.0,0.0,0.0,,1.0,False
190,AVR_Q_amp,0.0,0.0,0.0,,1.0,False
188,DIII_QRSTA,0.0,0.0,0.0,,1.0,False
192,AVR_S_amp,0.0,0.0,0.0,,1.0,False
184,DIII_Sp_amp,0.0,0.0,0.0,,1.0,False
174,DII_Sp_amp,0.0,0.0,0.0,,1.0,False
173,DII_Rp_amp,0.0,0.0,0.0,,1.0,False
182,DIII_S_amp,0.0,0.0,0.0,,1.0,False
168,DI_QRSTA,0.0,0.0,0.0,,1.0,False
150,V6_Rp_wid,0.0,0.0,0.0,,1.0,False
151,V6_Sp_wid,0.0,0.0,0.0,,1.0,False
149,V6_S_wid,0.0,0.0,0.0,,1.0,False
148,V6_R_wid,0.0,0.0,0.0,,1.0,False
163,DI_Rp_amp,0.0,0.0,0.0,,1.0,False
161,DI_R_amp,0.0,0.0,0.0,,1.0,False
157,V6_Rag_T,0.0,0.0,0.0,,1.0,False
158,V6_Diph_T,0.0,0.0,0.0,,1.0,False
156,V6_Diph_P,0.0,0.0,0.0,,1.0,False
37,DII_Rag_T,0.0,0.0,0.0,,1.0,False
38,DII_Diph_T,0.0,0.0,0.0,,1.0,False
164,DI_Sp_amp,0.0,0.0,0.0,,1.0,False
43,DIII_Sp_wid,0.0,0.0,0.0,,1.0,False
41,DIII_S_wid,0.0,0.0,0.0,,1.0,False
46,DIII_Diph_R,0.0,0.0,0.0,,1.0,False
45,DIII_Rag_R,0.0,0.0,0.0,,1.0,False
47,DIII_Rag_P,0.0,0.0,0.0,,1.0,False
48,DIII_Diph_P,0.0,0.0,0.0,,1.0,False
49,DIII_Rag_T,0.0,0.0,0.0,,1.0,False
50,DIII_Diph_T,0.0,0.0,0.0,,1.0,False
146,V5_Diph_T,0.0,0.0,0.0,,1.0,False
155,V6_Rag_P,0.0,0.0,0.0,,1.0,False
153,V6_Rag_R,0.0,0.0,0.0,,1.0,False
154,V6_Diph_R,0.0,0.0,0.0,,1.0,False
230,V2_Q_amp,0.0,0.0,0.0,,1.0,False
224,V1_Sp_amp,0.0,0.0,0.0,,1.0,False
216,AVF_T_amp,0.0,0.0,0.0,,1.0,False
220,V1_Q_amp,0.0,0.0,0.0,,1.0,False
212,AVF_S_amp,0.0,0.0,0.0,,1.0,False
214,AVF_Sp_amp,0.0,0.0,0.0,,1.0,False
234,V2_Sp_amp,0.0,0.0,0.0,,1.0,False
204,AVL_Sp_amp,0.0,0.0,0.0,,1.0,False
205,AVL_P_amp,0.0,0.0,0.0,,1.0,False
213,AVF_Rp_amp,0.0,0.0,0.0,,1.0,False
23,DI_Rag_P,0.0,0.0,0.0,,1.0,False
244,V3_Sp_amp,0.0,0.0,0.0,,1.0,False
35,DII_Rag_P,0.0,0.0,0.0,,1.0,False
34,DII_Diph_R,0.0,0.0,0.0,,1.0,False
33,DII_Rag_R,0.0,0.0,0.0,,1.0,False
31,DII_Sp_wid,0.0,0.0,0.0,,1.0,False
28,DII_R_wid,0.0,0.0,0.0,,1.0,False
30,DII_Rp_wid,0.0,0.0,0.0,,1.0,False
25,DI_Rag_T,0.0,0.0,0.0,,1.0,False
26,DI_Diph_T,0.0,0.0,0.0,,1.0,False
21,DI_Rag_R,0.0,0.0,0.0,,1.0,False
22,DI_Diph_R,0.0,0.0,0.0,,1.0,False
24,DI_Diph_P,0.0,0.0,0.0,,1.0,False
36,DII_Diph_P,0.0,0.0,0.0,,1.0,False
253,V4_Rp_amp,0.0,0.0,0.0,,1.0,False
250,V4_Q_amp,0.0,0.0,0.0,,1.0,False
254,V4_Sp_amp,0.0,0.0,0.0,,1.0,False
255,V4_P_amp,0.0,0.0,0.0,,1.0,False
