feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
9,QRS_angle,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
66,AVL_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
11,P_angle,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
67,AVL_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
68,AVL_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
69,AVL_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
15,DI_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
16,DI_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
17,DI_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
18,DI_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
19,DI_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
20,DI_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
21,DI_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
22,DI_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
