strategy,overall_acc_mean,overall_acc_std,male_acc_mean,male_acc_std,female_acc_mean,female_acc_std,gap_mean,gap_std
baseline,0.8052258852258852,0.03070670236296624,0.7796469683504343,0.043058400664945304,0.8293821188049687,0.07141474825993355,0.04973515045453449,0.10224479885107449
random_oversample,0.803028083028083,0.01973364631138409,0.7937808019964632,0.049535483163242466,0.8127898478540352,0.06059723537782265,0.019009045857572106,0.10433696371222226
perturbation,0.8251037851037852,0.034491121200275476,0.8234669694875085,0.06016136004083764,0.8287312568235151,0.06308461658064743,0.005264287336006368,0.10213125218017897
smotenc,0.8007814407814408,0.028736216395514543,0.8038395707843717,0.042835107895582494,0.8002896307459153,0.059648033718900616,-0.003549940038456412,0.0882397813276153
cross_gender,0.8185347985347985,0.03967449152912462,0.8094680886080114,0.04169639385095844,0.8290421504117195,0.0719953615114963,0.01957406180370793,0.09075051337916892
combined,0.814090354090354,0.039634805515865054,0.8087503852587293,0.045679152975787056,0.8202404588676716,0.05939372444601608,0.011490073608942164,0.07079640444056134
